Date_Forecast;Volume;Open;High;Low;Close;Bid;Ask
31.12.2023;310116.0;7241.0;7250.0;7167.0;7194.0;7176.0;7181.0
31.01.2024;394667.0;7223.0;7264.0;7178.0;7223.0;7200.0;7204.0
29.02.2024;408570.0;7246.0;7271.0;7204.0;7227.0;7209.0;7214.0
31.03.2024;465714.0;7254.0;7279.0;7197.0;7229.0;7211.0;7216.0
30.04.2024;482617.0;7265.0;7294.0;7209.0;7245.0;7225.0;7229.0
31.05.2024;426832.0;7273.0;7297.0;7216.0;7236.0;7220.0;7224.0
30.06.2024;363993.0;7270.0;7296.0;7230.0;7253.0;7234.0;7238.0
31.07.2024;365121.0;7286.0;7312.0;7228.0;7266.0;7246.0;7251.0
31.08.2024;416940.0;7289.0;7313.0;7237.0;7266.0;7248.0;7252.0
30.09.2024;575937.0;7299.0;7321.0;7236.0;7262.0;7243.0;7247.0
31.10.2024;761538.0;7290.0;7310.0;7218.0;7234.0;7219.0;7223.0
30.11.2024;578655.0;7262.0;7293.0;7209.0;7235.0;7219.0;7223.0
31.12.2024;399089.0;7263.0;7272.0;7189.0;7216.0;7198.0;7203.0
31.01.2025;428154.0;7247.0;7286.0;7202.0;7244.0;7221.0;7226.0
28.02.2025;410945.0;7268.0;7293.0;7226.0;7248.0;7230.0;7235.0
31.03.2025;456527.0;7278.0;7302.0;7221.0;7250.0;7232.0;7237.0
30.04.2025;471159.0;7288.0;7314.0;7231.0;7266.0;7246.0;7251.0
31.05.2025;410040.0;7294.0;7316.0;7238.0;7257.0;7241.0;7246.0
30.06.2025;347743.0;7292.0;7315.0;7251.0;7274.0;7255.0;7259.0
31.07.2025;351619.0;7307.0;7331.0;7251.0;7287.0;7267.0;7272.0
31.08.2025;399018.0;7313.0;7336.0;7260.0;7287.0;7269.0;7273.0
30.09.2025;553491.0;7323.0;7345.0;7259.0;7283.0;7263.0;7268.0
31.10.2025;740191.0;7314.0;7331.0;7240.0;7255.0;7240.0;7245.0
30.11.2025;557657.0;7285.0;7314.0;7231.0;7256.0;7240.0;7244.0
31.12.2025;380431.0;7286.0;7294.0;7211.0;7237.0;7219.0;7224.0
31.01.2026;410449.0;7269.0;7308.0;7225.0;7265.0;7242.0;7247.0
28.02.2026;393773.0;7290.0;7315.0;7248.0;7269.0;7251.0;7256.0
31.03.2026;439554.0;7300.0;7324.0;7243.0;7271.0;7253.0;7258.0
30.04.2026;454225.0;7311.0;7336.0;7253.0;7287.0;7267.0;7272.0
31.05.2026;393197.0;7317.0;7338.0;7260.0;7279.0;7263.0;7267.0
30.06.2026;330891.0;7314.0;7337.0;7273.0;7295.0;7276.0;7280.0
31.07.2026;334720.0;7329.0;7353.0;7273.0;7308.0;7288.0;7293.0
31.08.2026;382195.0;7335.0;7358.0;7282.0;7308.0;7290.0;7294.0
30.09.2026;536746.0;7345.0;7367.0;7282.0;7304.0;7285.0;7289.0
31.10.2026;723426.0;7336.0;7353.0;7263.0;7276.0;7261.0;7266.0
30.11.2026;540887.0;7307.0;7336.0;7254.0;7277.0;7261.0;7266.0
31.12.2026;363620.0;7308.0;7315.0;7234.0;7258.0;7240.0;7245.0
31.01.2027;393622.0;7292.0;7329.0;7248.0;7286.0;7263.0;7268.0
28.02.2027;376937.0;7313.0;7336.0;7271.0;7290.0;7272.0;7277.0
31.03.2027;422714.0;7323.0;7345.0;7266.0;7292.0;7274.0;7279.0
30.04.2027;437384.0;7333.0;7357.0;7275.0;7309.0;7288.0;7293.0
31.05.2027;376356.0;7339.0;7359.0;7283.0;7300.0;7284.0;7288.0
30.06.2027;314049.0;7337.0;7358.0;7296.0;7316.0;7297.0;7301.0
31.07.2027;317879.0;7352.0;7374.0;7296.0;7329.0;7309.0;7314.0
31.08.2027;365353.0;7358.0;7380.0;7304.0;7329.0;7311.0;7316.0
30.09.2027;519902.0;7368.0;7388.0;7304.0;7325.0;7306.0;7310.0
31.10.2027;706583.0;7358.0;7374.0;7285.0;7298.0;7282.0;7287.0
30.11.2027;524044.0;7329.0;7357.0;7276.0;7298.0;7282.0;7287.0
31.12.2027;346778.0;7330.0;7337.0;7256.0;7279.0;7261.0;7266.0
31.01.2028;376780.0;7314.0;7351.0;7270.0;7307.0;7284.0;7289.0
29.02.2028;360095.0;7335.0;7358.0;7293.0;7311.0;7293.0;7298.0
31.03.2028;405872.0;7345.0;7367.0;7288.0;7313.0;7296.0;7300.0
30.04.2028;420543.0;7355.0;7379.0;7297.0;7330.0;7309.0;7314.0
31.05.2028;359514.0;7362.0;7381.0;7305.0;7321.0;7305.0;7309.0
30.06.2028;297208.0;7359.0;7380.0;7318.0;7338.0;7318.0;7322.0
31.07.2028;301038.0;7374.0;7396.0;7319.0;7350.0;7330.0;7335.0
31.08.2028;348511.0;7380.0;7401.0;7327.0;7350.0;7332.0;7337.0
30.09.2028;503061.0;7390.0;7410.0;7327.0;7346.0;7327.0;7331.0
31.10.2028;689741.0;7381.0;7396.0;7307.0;7319.0;7303.0;7308.0
30.11.2028;507202.0;7352.0;7379.0;7299.0;7319.0;7303.0;7308.0
